ID,Descripción,Fecha de Verificacion,Próxima Verificacion,Calendario de Verificacion,Estado,"Método de Verificacion calibracion",Error de equipo,,Resolucion,,N° de Serie,"ID de equipo con el que se verifica / Calibra  ",Usuario,Responsable,Ubicación,Formato,Verificacion de Etiquta (ID y Fecha),Status,Prove-Calibracion,Verifico,Fuera de Calibración,,% de Gages Calibrados,Numero de folio,,,Calibración Vigente,Calibración Vencida,En Proceso de Calibración,,Buscar,27-05-21,>=,20/05/2021,07/05/2021,>=44323.4489422454,27/05/2021,>=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT540,HTPOT,20/07/2020,20/07/2021,30/06/2021,Activo,EXTERNO,NA,NA,NA,NA,,CERTIFICADO,Produccion / Automatizacion,Produccion / Automatizacion,Linea nueva 6798 GR10,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,13 de August del 2014,13 de August del 2015,R&R Actualizado,365,,13 de July del 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT541,IM-6225- Keyence,25/05/2021,25/05/2022,05/05/2022,Activo,EXTERNO,N/A,N/A,NA,NA,5C518091,CERTIFICADO,tecnicos de Calidad,Griselda Flores,Estampados,N/A,OK,Calibración Vigente,,FLOME,0,1,365.00,365.00,,,29 de April del 2014,29 de April del 2015,R&R Actualizado,365,,18 de May del 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT542,Bascula Romana,29/08/2019,28/08/2020,08/08/2020,Baja,EXTERNO,N/A,N/A,0,12 kg,,CERTIFICADO,procesos/eduardo Marquez,procesos/eduardo Marquez,Procesos Planta Tecnology.,N/A,,Baja,,,1,1,365.00,365.00,,,1 de July del 2014,1 de July del 2015,R&R Actualizado,365,,21 de August del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT543,Control de Temperatura,07/09/2020,07/09/2021,18/08/2021,Activo,EXTERNO,N/A,N/A,N/A,N/A,,CERTIFICADO,Procesos / Produccion,Procesos / Produccion,Battenfeld BOS-9224-000,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,23 de July del 2014,23 de July del 2015,R&R Actualizado,365,,31 de August del 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT544,Control de Temperatura ,20/11/2020,20/11/2021,31/10/2021,Activo,EXTERNO,N/A,N/A,N/A,N/A,,CERTIFICADO,Procesos / Produccion,Procesos / Produccion,Battenfeld VAL-8422-000,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,13 de August del 2014,13 de August del 2015,R&R Actualizado,365,,13 de November del 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT545,Control de Temperatura,07/09/2020,07/09/2021,18/08/2021,Activo,EXTERNO,N/A,N/A,N/A,N/A,,CERTIFICADO,Procesos / Produccion,Procesos / Produccion,,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,13 de August del 2014,13 de August del 2015,R&R Actualizado,365,,31 de August del 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT546,Control de Temperatura,07/09/2020,07/09/2021,18/08/2021,Activo,EXTERNO,N/A,N/A,N/A,N/A,,CERTIFICADO,Procesos / Produccion,Procesos / Produccion,Nissie moldeo BOS-6194 2+2,N/A,,Calibración Vigente,,,0,1,365.00,0.00,,,6 de September del 2014,6 de September del 2014,R&R Actualizado,365,,31 de August del 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT547,Micrometro Analogo fowler,28/08/2019,27/08/2020,07/08/2020,Extraviado,INTERNO,0.0001,0.0001,0,"1""",131055480,INT062,MANTENIMIENTO,Enrique mondragon,Mantenimiento,N/A,,Extraviado,,Estaviado ,1,1,365.00,0.00,,,30 de March del 2015,30 de March del 2015,R&R Actualizado,-11,,20 de August del 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT548,Micrometro Analogo fowler,28/08/2020,28/08/2021,08/08/2021,Activo,INTERNO,0.0001,0.0001,2,"3""",150726901,INT062,MANTENIMIENTO,Enrique mondragon,Mantenimiento,N/A,,Calibración Vigente,,,0,0,365.00,365.00,,,6 de September del 2014,6 de September del 2015,R&R Actualizado,#REF!,,21 de August del 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT549,Camara de vision  Candado,05/11/2020,05/11/2021,16/10/2021,Activo,INTERNO,N/A,N/A,,,BE710556,Dummis,Produccion / Automatizacion,Produccion / Automatizacion,COT-5552-000,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,1 de October del 2014,1 de October del 2015,R&R Actualizado,365,,29 de October del 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT550,Camara de vision ,30/11/2020,30/11/2021,10/11/2021,Activo,INTERNO,N/A,N/A,,,,Dummis,Produccion / Automatizacion,Produccion / Automatizacion,COT-7614-000,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,14 de October del 2014,14 de October del 2015,R&R Actualizado,365,,23 de November del 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT551,Bascula Ohaus Pioneer,07/10/2020,07/10/2021,17/09/2021,Activo,INTERNO,N/A,N/A,0,20k,,INT088,Produccion Estampados,estampados,Area de inspeccion ,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,24 de October del 2014,24 de October del 2015,R&R Actualizado,365,,30 de September del 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT552,Analizador de humedad,15/01/2021,15/01/2022,26/12/2021,Activo,EXTERNO,N/A,N/A,N/A,N/A,,CERTIFICADO,Procesos,Procesos / Produccion,Metrologia,N/A,,Calibración Vigente,,,0,1,365.00,0.00,,,21 de January del 2015,21 de January del 2015,R&R Actualizado,365,,8 de January del 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT553,Calibradores de alturas,09/10/2020,09/10/2021,19/09/2021,Activo,EXTERNO,N/A,N/A,0,18,,CERTIFICADO,,Taller,Metrologia,N/A,,Calibración Vigente,,,0,1,365.00,0.00,,,21 de January del 2015,21 de January del 2015,R&R Actualizado,365,,2 de October del 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT554,Indicador Dig.,08/10/2020,08/10/2021,18/09/2021,Activo,INTERNO,0.0001,0.0001,0,12.7MM,12038323,INT062,Metrologia,Metrologia,Metrologia,N/A,,Calibración Vigente,,,0,1,365.00,180.00,,,11 de February del 2015,10 de August del 2015,R&R Actualizado,365,,1 de October del 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT555,Jgo de pines,02/11/2020,02/11/2021,13/10/2021,Activo,EXTERNO,0.0002,0.0002,,,,CERTIFICADO,Metrologia,Metrologia,Metrologia,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,11 de February del 2015,11 de February del 2016,R&R Actualizado,365,,26 de October del 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT556,Pull Test,08/12/2020,08/12/2021,18/11/2021,Activo,EXTERNO,CERTIFICADO,CERTIFICADO,0,50KN,,CERTIFICADO,Arturo Gonzalez y Blas Castañeda,Arturo Alvarez y Blas Castañeda,Cold Forging ,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,11 de February del 2015,11 de February del 2016,R&R Actualizado,365,,1 de December del 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT557,Indicador Dial,01/10/2020,01/10/2022,11/09/2022,Activo,INTERNO,N/A,N/A,0,10mm,AHSZ55,INT062,Metrologia,Metrologia,Metrologia,N/A,,Calibración Vigente,,,0,1,730.00,365.00,,,11 de February del 2015,11 de February del 2016,R&R Actualizado,730,,24 de September del 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT558,Indicador de pestaña,01/10/2020,01/10/2022,11/09/2022,Activo,INTERNO,0.0001,0.0001,0,".0004""",AHAJ66,INT062,Metrologia,Metrologia,Metrologia,N/A,,Calibración Vigente,,,0,1,730.00,365.00,,,5 de March del 2015,4 de March del 2016,R&R Actualizado,730,,24 de September del 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT559,Calibrador Dig.,07/10/2020,07/10/2021,17/09/2021,Activo,INTERNO,0.0005,0.0005,0,"6""",B19119197,INT062,Metrologia,Metrologia,Metrologia,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,5 de March del 2015,4 de March del 2016,R&R Actualizado,365,,30 de September del 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT560,Micrometro de puntas,01/10/2020,01/10/2021,11/09/2021,Activo,INTERNO,0.0005,0.0005,0,"1""",67814393,INT062,Metrologia,Metrologia,Metrologia,N/A,,Calibración Vigente,,,0,1,365.00,0.00,,,30 de March del 2015,30 de March del 2015,R&R Actualizado,365,,24 de September del 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT561,Calibrador de espesores,16/10/2020,16/10/2022,26/09/2022,Activo,INTERNO,N/A,N/A,0.05,1,184-313S,INT306,Metrologia,Metrologia,Metrologia,N/A,,Calibración Vigente,,,0,1,730.00,365.00,,,11 de February del 2015,11 de February del 2016,R&R Actualizado,730,,9 de October del 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT562,Camara de vision ,23/07/2020,23/07/2021,03/07/2021,Activo,INTERNO,N/A,N/A,N/A,N/A,3E711921,Dummies posicion de Clip,Produccion / Automatizacion,Produccion / Automatizacion,Linea -7459/60-000 ,N/A,,Calibración Vigente,,,0,1,365.00,0.00,,,21 de January del 2015,21 de January del 2015,R&R Actualizado,365,,16 de July del 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT563,Camara de vision ,23/07/2020,23/07/2021,03/07/2021,Activo,INTERNO,N/A,N/A,N/A,N/A,E3510264,Dummies,Produccion / Automatizacion,Produccion / Automatizacion,Linea -7459/60-000 ,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,27 de January del 2014,27 de January del 2015,R&R Actualizado,365,,16 de July del 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT564,Camara de vision ,23/07/2020,23/07/2021,03/07/2021,Activo,INTERNO,N/A,N/A,N/A,N/A,6E410137,Dummies ver Antena y Gasket,Produccion / Automatizacion,Produccion / Automatizacion,Linea -7459/60-000 ,N/A,,Calibración Vigente,,,0,1,365.00,0.00,,,21 de January del 2015,21 de January del 2015,R&R Actualizado,365,,16 de July del 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT565,Camara de vision ,23/07/2020,23/07/2021,03/07/2021,Activo,INTERNO,N/A,N/A,N/A,N/A,CA-DRW8M,Dummies,Produccion / Automatizacion,Produccion / Automatizacion,Linea -7459/60-000 ,N/A,,Calibración Vigente,,,0,1,365.00,0.00,,,21 de January del 2015,21 de January del 2015,R&R Actualizado,365,,16 de July del 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT566,Camara de vision ,23/07/2020,23/07/2021,03/07/2021,Activo,INTERNO,N/A,N/A,N/A,N/A,8E711129,Dummies posicion de Clip,Produccion / Automatizacion,Produccion / Automatizacion,Linea -7459/60-000 ,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,27 de January del 2014,27 de January del 2015,R&R Actualizado,365,,16 de July del 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT567,Perfilometro 3D,27/11/2020,27/11/2021,07/11/2021,Activo,INTERNO,N/A,N/A,N/A,N/A,1B610028,Dummies TP altura y Gasket,Produccion,Produccion,Linea -7459/60-000 ,N/A,,Calibración Vigente,,,0,1,365.00,0.00,,,21 de January del 2015,21 de January del 2015,R&R Actualizado,365,,20 de November del 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT568,Camara de vision ,23/07/2020,23/07/2021,03/07/2021,Activo,INTERNO,N/A,N/A,N/A,N/A,1A910271,Dummis,Produccion / Automatizacion,Produccion / Automatizacion,Linea nueva 6798 GR10,N/A,,Calibración Vigente,,,0,1,365.00,0.00,,,21 de January del 2015,21 de January del 2015,R&R Actualizado,365,,16 de July del 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT569,Camara de vision ,23/07/2020,23/07/2021,03/07/2021,Baja,INTERNO,N/A,N/A,N/A,N/A,1A910267,Dummis,Produccion / Automatizacion,Produccion / Automatizacion,Linea nueva 6798 GR10,N/A,,Baja,,,0,1,365.00,0.00,,,21 de January del 2015,21 de January del 2015,R&R Actualizado,365,,16 de July del 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT570,Camara de vision ,23/07/2020,23/07/2021,03/07/2021,Activo,INTERNO,N/A,N/A,N/A,N/A,1A900276,Dummis,Produccion / Automatizacion,Produccion / Automatizacion,Linea nueva 6798 GR10,N/A,,Calibración Vigente,,,0,1,365.00,0.00,,,21 de January del 2015,21 de January del 2015,R&R Actualizado,365,,16 de July del 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT571,Camara de vision ,18/11/2020,18/11/2021,29/10/2021,Activo,INTERNO,N/A,N/A,N/A,N/A,4E310350,Dummis,Produccion / Automatizacion,Produccion / Automatizacion,Linea TRW-5874-000,N/A,,Calibración Vigente,,,0,1,365.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT572,Bascula ULINE,22/11/2019,21/11/2020,01/11/2020,Extraviado,INTERNO,N/A,N/A,0,15KG,,INT213,Metrologia,Produccion,Metrología ,N/A,,Extraviado,,,1,1,365.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT573,Bascula ULINE,22/11/2019,21/11/2020,01/11/2020,Extraviado,INTERNO,N/A,N/A,0,15KG,AE-0095,INT213,Produccion,Produccion,Linea VER-10011-000 Arburg,N/A,,Extraviado,EQUI.LAB,,0,1,365.00,365.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT574,Bascula ULINE,20/11/2020,20/11/2021,31/10/2021,Activo,INTERNO,N/A,N/A,0,15KG,AE-0021,INT213,Produccion,Produccion,YUH-DAK 1 Linea EES-4749-100,N/A,,Calibración Vigente,,,0,1,365.00,0.00,,,21 de January del 2015,21 de January del 2015,R&R Actualizado,365,,13 de November del 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT575,Bascula ULINE,20/11/2020,20/11/2021,31/10/2021,Activo,INTERNO,N/A,N/A,0,15KG,AE-0002,INT213,Produccion,Produccion,Linea HEL-6151,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT576,Hypot Cirrus,15/01/2021,15/01/2022,26/12/2021,Activo,EXTERNO,CERTIFICADO,CERTIFICADO,CERTIFICADO,CERTIFICADO,,CERTIFICADO,Produccion / Automatizacion,Produccion / Automatizacion,Linea BOS-9917-000,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT577,Control de Temperatura,15/01/2021,15/01/2023,26/12/2022,Activo,EXTERNO,CERTIFICADO,CERTIFICADO,CERTIFICADO,CERTIFICADO,,CERTIFICADO,Produccion,produccion,Nissei Bos-9917-000,N/A,,Calibración Vigente,,,0,1,730.00,365.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT578,Control de Temperatura,21/05/2021,21/05/2022,01/05/2022,Activo,EXTERNO,CERTIFICADO,CERTIFICADO,CERTIFICADO,CERTIFICADO,,CERTIFICADO,Produccion,produccion,Nissei Nex2000,N/A,OK,Calibración Vigente,Marc instruments,FLOME,0,1,365.00,365.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT579,Control de Temperatura,21/05/2021,21/05/2022,01/05/2022,Activo,EXTERNO,CERTIFICADO,CERTIFICADO,CERTIFICADO,CERTIFICADO,,CERTIFICADO,Produccion,produccion,Nissei Nex180,N/A,OK,Calibración Vigente,Marc instruments,FLOME,0,1,365.00,365.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT580,Control de Temperatura,21/05/2021,21/05/2022,01/05/2022,Activo,EXTERNO,CERTIFICADO,CERTIFICADO,CERTIFICADO,CERTIFICADO,,CERTIFICADO,Produccion,produccion,Yuh-dak  9,N/A,OK,Calibración Vigente,Marc instruments,FLOME,0,1,365.00,365.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT581,Control de Temperatura,21/05/2021,21/05/2022,01/05/2022,Activo,EXTERNO,CERTIFICADO,CERTIFICADO,CERTIFICADO,CERTIFICADO,,CERTIFICADO,Produccion,produccion,CHNAK Linea SEM-2920-000,N/A,OK,Calibración Vigente,Marc instruments,FLOME,0,1,365.00,365.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT582,Micrometro con topes delgados,13/01/2021,13/01/2022,24/12/2021,Activo,INTERNO,CERTIFICADO,CERTIFICADO,0,"0.0001""",,CERTIFICADO,Metrologia,Metrologia,Metrología ,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT583,Hypot Cirrus,15/01/2021,15/01/2022,26/12/2021,Activo,EXTERNO,CERTIFICADO,CERTIFICADO,CERTIFICADO,CERTIFICADO,,CERTIFICADO,Produccion / Automatizacion,Produccion / Automatizacion,Linea SEM-8575-000,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT584,Refractometro,26/01/2021,26/01/2022,06/01/2022,Activo,EXTERNO,CERTIFICADO,CERTIFICADO,CERTIFICADO,CERTIFICADO,,CERTIFICADO,Metrologia,Metrologia,Metrología ,N/A,OK,Calibración Vigente,,FLOME,0,1,365.00,365.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT585,Torquimetro,26/01/2021,26/01/2022,06/01/2022,Activo,EXTERNO,CERTIFICADO,CERTIFICADO,CERTIFICADO,CERTIFICADO,,CERTIFICADO,Metrologia,Metrologia,Metrología ,N/A,OK,Calibración Vigente,,FLOME,0,1,365.00,365.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT586,Bascula Rubbermaid  mod:4010-88,15/01/2021,14/01/2026,25/12/2025,Activo,EXTERNO,CERTIFICADO,CERTIFICADO,0,68k,,CERTIFICADO,Metrologia,Almacen Embarques,Metrología ,N/A,,Calibración Vigente,,,0,1,1825.00,365.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT587,Bascula Rubbermaid  mod:4010,15/01/2021,14/01/2026,25/12/2025,Activo,EXTERNO,CERTIFICADO,CERTIFICADO,0,68k,,CERTIFICADO,Metrologia,Metrologia,Metrología ,N/A,,Calibración Vigente,,,0,1,1825.00,365.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT588,Bascula Rubbermaid  mod:4010,15/01/2021,14/01/2026,25/12/2025,Activo,EXTERNO,CERTIFICADO,CERTIFICADO,0,68k,,CERTIFICADO,Metrologia,Metrologia,Metrología ,N/A,,Calibración Vigente,,,0,1,1825.00,365.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT589,Bascula Rubbermaid  mod:4010,15/01/2021,14/01/2026,25/12/2025,Activo,EXTERNO,CERTIFICADO,CERTIFICADO,0,68k,,CERTIFICADO,Metrologia,Metrologia,Metrología ,N/A,OK,Calibración Vigente,,FLOME,0,1,1825.00,365.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT590,Horno ,10/12/2020,10/12/2021,20/11/2021,Activo,EXTERNO,CERTIFICADO,CERTIFICADO,CERTIFICADO,CERTIFICADO,,CERTIFICADO,Produccion,Produccion,Line de Den-6428-000,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
